destination_country,weekday,season,num_passengers
Poland,4,Winter,132
Italy,7,Winter,126
Hungary,5,Fall,126
Taiwan,1,Spring,126
Argentina,2,Spring,125
Canada,3,Fall,121
Malaysia,5,Winter,121
Hong Kong,6,Winter,119
Philippines,1,Winter,113
Taiwan,5,Spring,112
Thailand,7,Summer,110
Netherlands Antilles,1,Winter,110
India,4,Winter,110
India,1,Winter,104
Mauritius,7,Spring,102
Kenya,2,Winter,99
United Arab Emirates,3,Summer,99
Serbia,4,Summer,96
Cuba,1,Winter,96
Norway,1,Fall,96
Brazil,1,Spring,91
South Korea,3,Spring,91
Brazil,5,Winter,85
Germany,1,Winter,82
United Arab Emirates,4,Spring,80
Kuwait,6,Summer,80
Norway,1,Winter,80
Chile,5,Spring,78
Israel,6,Spring,76
France,5,Winter,76
Hong Kong,5,Winter,74
Latvia,6,Spring,69
China,1,Winter,69
Chile,7,Spring,69
Bahrain,7,Winter,65
United States,5,Winter,63
Tanzania,4,Winter,60
Kuwait,7,Spring,59
United Kingdom,1,Winter,51
Sweden,2,Winter,51
Bulgaria,4,Spring,48
Namibia,6,Spring,48
Romania,6,Spring,48
Canada,5,Winter,47
Austria,7,Spring,46
Kenya,5,Spring,42
Ukraine,3,Spring,40
South Africa,5,Winter,34
Ghana,4,Winter,33
Chile,2,Winter,32
Panama,6,Winter,30
Panama,5,Winter,27
Tanzania,6,Spring,20
Brazil,4,Winter,14
Malaysia,3,Spring,8
United States,1,Winter,5
United Arab Emirates,4,Winter,5
Brazil,6,Winter,4
France,4,Winter,3
